"area","atuacao","descricao","imagem (branco)","imagem (escuro)","pgi_evolucao","sigla","z_aplicacao","z_aplicacoes_2023_2024","Creation Date","Modified Date","Slug","Creator","unique id"
"SUP. DE PLANEJAMENTO E GESTÃO","Área meio","SUPERINTENDÊNCIA DE PLANEJAMENTO E GESTÃO","","","","SGJAA - SUPLAN","","PGA 2023","Mar 24, 2023 1:54 pm","Jul 17, 2023 2:05 pm","","(deleted thing)","1679676870296x549535104101253100"
"ÁREA CRIMINAL","Área fim","ÁREA CRIMINAL DO CENTRO DE APOIO OPERACIONAL","","","","CRIM (CAO)","","PGA 2023","Mar 24, 2023 1:56 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679676998064x380752154340360200"
"EDUCAÇÃO","Área fim","ÁREA DA EDUCAÇÃO DO CENTRO DE APOIO OPERACIONAL","","","","EDU (CAO)","","PGA 2023","Mar 24, 2023 1:57 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677032039x503161378335359000"
"INFÂNCIA E JUVENTUDE","Área fim","ÁREA DA INFÂNCIA E JUVENTUDE DO CENTRO DE APOIO OPERACIONAL","","","","INF (CAO)","","PGA 2023","Mar 24, 2023 1:57 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677072358x949633340802334700"
"MEIO AMBIENTE E CONSUMIDOR","Área fim","ÁREA DO MEIO AMBIENTE E CONSUMIDOR DO CENTRO DE APOIO OPERACIONAL","","","","MACON (CAO)","","PGA 2023","Mar 24, 2023 1:58 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677132832x935438318361378800"
"PATRIMÔNIO PÚBLICO E TERCEIRO SETOR","Área fim","ÁREA DO PATRIMÔNIO PÚBLICO E TERCEIRO SETOR DO CENTRO DE APOIO OPERACIONAL","","","","PPTS (CAO)","","PGA 2023","Mar 24, 2023 2:03 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677384094x744186631757496300"
"POLÍTICAS PÚBLICAS E DIREITOS HUMANOS","Área fim","ÁREA DE POLÍTICAS PÚBLICAS E DIREITOS HUMANOS DO CENTRO DE APOIO OPERACIONAL","","","","PPDH (CAO)","","PGA 2023","Mar 24, 2023 2:03 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677428351x878267842902097900"
"SAÚDE","Área fim","ÁREA DA SAÚDE DO CENTRO DE APOIO OPERACIONAL","","","","SAUDE (CAO)","","PGA 2023","Mar 24, 2023 2:04 pm","Jun 12, 2023 7:29 pm","","(deleted thing)","1679677462008x350771324129902600"
"GABINETE DE PLANEJAMENTO E GESTÃO INTEGRADA","Área meio","GABINETE DE PLANEJAMENTO E GESTÃO INTEGRADA","","","0,84","GGI","PGI 2023-2025","PGA 2023 , PGI 2023-2025","Apr 10, 2023 7:24 pm","May 22, 2025 2:50 pm","","(deleted thing)","1681165443299x899234875281244200"
"SUBPROCURADORIA-GERAL DE JUSTIÇA PARA ASSUNTOS INSTITUCIONAIS","Área fim","","","","0,875","SGJAI","PGI 2023-2025","PGA 2023 , PGI 2023-2025","Apr 20, 2023 3:08 pm","May 22, 2025 2:50 pm","","thaise.miranda@mpgo.mp.br","1682014102854x567772652460834800"
"DIRETORIA GERAL","Área meio","","","","","DG","PGI 2023-2025","PGA 2023","Apr 20, 2023 3:15 pm","May 22, 2025 2:50 pm","","thaise.miranda@mpgo.mp.br","1682014521118x770540038400507900"
"ASSESSORIA DE COMUNICAÇÃO","Área meio","","","","1","ASCOM","PGI 2023-2025","PGI 2023-2025","Jun 12, 2023 7:34 pm","May 22, 2025 2:50 pm","","(App admin)","1686609274997x889402164502942800"
"CENTRO INTEGRADO DE INVESTIGAÇÃO E INTELIGÊNCIA","Área fim","","","","0,84375","CIII","PGI 2023-2025","PGI 2023-2025 , PGA 2023","Jun 12, 2023 7:34 pm","May 22, 2025 2:50 pm","","(App admin)","1686609295375x883679335508090800"
"ESCRITÓRIO DF","Área fim","","","","0,75","ESC.DF","PGI 2023-2025","PGI 2023-2025","Jun 12, 2023 7:35 pm","May 22, 2025 2:50 pm","","(App admin)","1686609322234x481507564328399940"
"ESCOLA SUPERIOR DO MPGO","Área fim","","","","","ESUMP","PGI 2023-2025","PGI 2023-2025","Jun 12, 2023 7:35 pm","May 27, 2025 7:03 pm","","(App admin)","1686609334757x908911117787792300"
"PROCURADORIA GERAL DE JUSTIÇA","Área fim","","","","0,873684210526316","PGJ","PGI 2023-2025","PGI 2023-2025","Jun 12, 2023 7:35 pm","May 22, 2025 2:51 pm","","(App admin)","1686609345270x411545590428799200"
