"eixo","evolucao","imagem","imagem (branco)","imagem (escuro)","info","z_aplicacao","Creation Date","Modified Date","Slug","Creator","unique id"
"Aprimoramento Funcional","0,94","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137824471x687057355426819800/PGI_Aprimoramento_Funcional.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137829188x454475532347425860/PGI_Aprimoramento_Funcional_%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 4,7
Qtde Ações: 5","PGI 2023-2025","Jun 30, 2023 12:10 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688137835104x228473086072586240"
"Articulação Institucional e Defesa de Direitos","0,864285714285714","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137876164x902567566985806200/PGI_Articulacao_Institucional.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137882196x533320594386429000/PGI_Articulacao_Institucional%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 6,05
Qtde Ações: 7","PGI 2023-2025","Jun 30, 2023 12:11 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688137884584x930267488875970600"
"Carreira","0,96","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137903672x390635931938752900/PGI_Carreira.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137910780x491417897272757200/PGI_Carreira%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 4,8
Qtde Ações: 5","PGI 2023-2025","Jun 30, 2023 12:11 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688137913211x468145556781006850"
"Direitos","0,922222222222222","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137983132x272947945655357860/PGI_Direitos.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688137988648x959034924617169000/PGI_Direitos%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 8,3
Qtde Ações: 9","PGI 2023-2025","Jun 30, 2023 12:13 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688137995420x182365538090221570"
"Inovação","0,92","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138018564x166304500856454530/PGI_Inovacao.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138027862x367285837727178160/PGI_Inovacao%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 4,6
Qtde Ações: 5","PGI 2023-2025","Jun 30, 2023 12:13 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688138030764x607603218044420100"
"Instal. de Novas Procuradorias e Promotorias","0,825","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138053312x765773706636562200/PGI_Instalacao_novas_procuradorias.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138058929x508505940921482240/PGI_Instalacao_novas_procuradorias%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 3,3
Qtde Ações: 4","PGI 2023-2025","Jun 30, 2023 12:14 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688138060999x195785064924577800"
"Investigação, Inteligência e Segurança Inst.","0,864285714285714","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138089382x931759415005730000/PGI_Investigacao.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138103850x250644185273453120/PGI_Investigacao%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 6,05
Qtde Ações: 7","PGI 2023-2025","Jun 30, 2023 12:15 pm","May 22, 2025 2:53 pm","","raphaelrsantos@mpgo.mp.br","1688138126545x604740926599594000"
"MP Digital","0,744444444444444","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138153376x213762414828157600/PGI_MP_Digital.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138159380x857954722708879500/PGI_MP_Digital%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 6,7
Qtde Ações: 9","PGI 2023-2025","Jun 30, 2023 12:16 pm","May 22, 2025 2:52 pm","","raphaelrsantos@mpgo.mp.br","1688138162221x139281509647646720"
"Novos Modelos de Atuação","0,866666666666667","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138203764x659332627080413600/PGI_Novos_Modelos_de_Atua%C3%A7%C3%A3o.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138210117x942624772003498600/PGI_Novos_Modelos_de_Atua%C3%A7%C3%A3o%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 7,8
Qtde Ações: 9","PGI 2023-2025","Jun 30, 2023 12:16 pm","May 22, 2025 2:52 pm","","raphaelrsantos@mpgo.mp.br","1688138212466x306208734694604800"
"Recursos Humanos","0,853846153846154","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138234853x800143713565403900/PGI_RH.png","//d66d1a904da26edd621021ac8c847dfa.cdn.bubble.io/f1688138241426x889246837803991300/PGI_RH%20%28branco%29.png","","CÁLCULO DA MÉDIA:
Soma % Atualizações: 11,1
Qtde Ações: 13","PGI 2023-2025","Jun 30, 2023 12:17 pm","May 22, 2025 2:52 pm","","raphaelrsantos@mpgo.mp.br","1688138243253x679692043437473800"
