id_eixo,eixo,id_bubble_original
1,Direitos,1747936816244x628492675078684700
2,Reconhecimento da Atuação,1747936869636x382892049048272900
3,Fortalecimento Institucional,1747936891843x249177876776091650
4,Valorização da Carreira,1747936943426x604493492737540100
5,Modernização das Instalações,1747936955640x231101802277502980
6,Aperfeiçoamento Institucional,1747936971442x352222709637709800
7,Gestão do Conhecimento,1747937000098x744486851331227600
8,Apoio Técnico e Operacional,1747937012860x193936282530611200
9,Automação Inteligente,1747937027432x708477624465227800
10,Integração Sistêmica,1747937037089x787800905963274200
11,Atualização Contínua,1747937053247x814261195004444700
12,Investigação,1747937081482x684227935240978400
13,Segurança,1747937087883x257725122661580800
14,Articulação Externa Estratégica,1747937102670x489752620151865340
15,Diálogo Interno Fortalecido,1747937120524x165392577779466240
16,Defesa Permanente,1747937129644x222856222020730880
17,Parcerias Institucionais,1747937139694x671003534408548400
18,Pesquisa e Produção Acadêmica,1747937153056x147907212689276930
19,Gestão do Conhecimento e Biblioteca,1747937165400x864174339029991400
20,"Saúde, Qualidade de Vida e Ambiente Institucional",1747937182274x449746315125981200
21,Gestão de Pessoas e Carreiras,1747937191126x127942221890584580
22,"Equidade, Inclusão e Diversidade",1747937203506x114571329448706050
